team_id,overall,power,tier,week
1,1,1,1,1
2,6,6,2,1
3,3,3,1,1
4,5,5,1,1
5,4,4,1,1
6,10,10,4,1
7,7,7,2,1
8,8,8,3,1
9,9,9,3,1
10,2,2,1,1
